1,0.89,2.9
2,0.87,3.6
3,0.81,2.2
4,0.79,3.9
5,0.9,6
6,0.85,4.2
7,0.84,4.7
8,0.79,5.6
9,0.88,4.6
10,0.91,2.4
11,0.88,3.2
12,0.77,2.4
13,0.78,1.7
14,0.8,0.6
15,0.85,-1.3
16,0.8,-0.4
17,0.79,0.9
18,0.83,4.5
19,0.69,2.4
20,0.72,0.4
21,0.74,2.5
22,0.8,3.1
23,0.86,2
24,0.78,-4
25,0.61,-6.5
26,0.71,-6.8
27,0.76,-5.2
28,0.78,-1.7
29,0.65,7.4
30,0.74,10
31,0.74,8.1
32,0.84,5.4
33,0.89,5.5
34,0.74,5.2
35,0.78,3.3
36,0.65,6.9
37,0.7,6
38,0.67,7.6
39,0.72,11.4
40,0.72,5.6
41,0.67,6.2
42,0.84,4.2
43,0.71,2.8
44,0.77,5.6
45,0.82,7
46,0.8,8.3
47,0.79,4.4
48,0.78,2.1
49,0.8,4.2
50,0.77,6
51,0.85,1.9
52,0.72,1.3
53,0.68,2.1
54,0.67,2.7
55,0.76,3.5
56,0.76,9.5
57,0.85,7.4
58,0.76,9
59,0.61,11
60,0.8,8.1
61,0.81,5.8
62,0.64,4.4
63,0.59,7.5
64,0.61,5.1
65,0.54,1.7
66,0.56,3.9
67,0.61,6.4
68,0.68,9.2
69,0.53,14.1
70,0.74,10.3
71,0.66,11.1
72,0.65,9.3
73,0.69,7.5
74,0.7,10.5
75,0.61,5.4
76,0.73,5.4
77,0.78,8.1
78,0.79,7.4
79,0.79,6.5
80,0.5,6.9
81,0.56,8.2
82,0.54,10.3
83,0.6,11
84,0.65,11.1
85,0.62,10.9
86,0.69,8
87,0.74,6
88,0.78,5.7
89,0.87,3.8
90,0.7,5.7
91,0.61,8.7
92,0.77,7.1
93,0.62,9.2
94,0.6,12.9
95,0.68,11.5
96,0.84,8.6
97,0.84,3.8
98,0.63,5.9
99,0.53,9.1
100,0.55,10.3
101,0.59,10.2
102,0.77,9.6
103,0.64,8.4
104,0.81,8.3
105,0.69,12.5
106,0.67,10
107,0.75,8.6
108,0.76,9.6
109,0.75,9.6
110,0.71,10.1
111,0.63,12.9
112,0.59,16.8
113,0.56,18.4
114,0.7,14.8
115,0.82,10.3
116,0.67,13.5
117,0.57,17.8
118,0.64,16.3
119,0.74,14.9
120,0.77,11.8
121,0.71,15.1
122,0.73,17
123,0.76,17
124,0.75,16.5
125,0.67,17.5
126,0.7,17
127,0.71,16.7
128,0.67,18
129,0.75,16.9
130,0.65,18.8
131,0.64,20
132,0.67,20.5
133,0.8,16.7
134,0.82,16.2
135,0.68,18.4
136,0.58,19.4
137,0.6,20.9
138,0.74,17.3
139,0.68,13.6
140,0.66,12
141,0.58,13
142,0.68,12.8
143,0.64,12.4
144,0.61,14.4
145,0.6,17.4
146,0.69,16.8
147,0.71,18.4
148,0.75,13.4
149,0.68,14.1
150,0.66,12.8
151,0.79,12.4
152,0.78,15.1
153,0.68,17.8
154,0.63,21.7
155,0.64,22.8
156,0.65,23.4
157,0.8,19.6
158,0.84,13.4
159,0.65,15.7
160,0.61,18.4
161,0.6,22.9
162,0.7,22
163,0.84,17.7
164,0.68,18.3
165,0.69,20.6
166,0.72,21.3
167,0.65,20.8
168,0.59,17.9
169,0.61,16.9
170,0.5,19.7
171,0.48,23
172,0.5,25.1
173,0.5,24.6
174,0.75,18.7
175,0.63,17.8
176,0.77,14.1
177,0.69,13.7
178,0.62,14.6
179,0.57,15.5
180,0.68,14.7
181,0.58,17.1
182,0.54,18.8
183,0.65,20.9
184,0.68,23.8
185,0.81,19.9
186,0.71,19.7
187,0.62,19.4
188,0.6,20.9
189,0.75,19.9
190,0.7,15.4
191,0.76,14.6
192,0.73,16.1
193,0.69,14.5
194,0.76,13.2
195,0.79,13.7
196,0.83,13.7
197,0.78,12.6
198,0.81,12.7
199,0.71,14.8
200,0.66,16.7
201,0.66,17
202,0.67,16.9
203,0.64,18.5
204,0.63,19.2
205,0.76,18.8
206,0.8,19.4
207,0.8,19
208,0.72,19.9
209,0.74,19.7
210,0.79,17.2
211,0.86,15.9
212,0.74,17.6
213,0.66,19.2
214,0.66,21.9
215,0.78,19.6
216,0.81,17
217,0.7,17.3
218,0.9,15.5
219,0.75,18.6
220,0.73,19.4
221,0.74,19.4
222,0.7,20.7
223,0.67,21.9
224,0.63,22.8
225,0.62,23.1
226,0.62,22.7
227,0.62,23.5
228,0.68,23.3
229,0.69,22.8
230,0.74,22.1
231,0.85,21.4
232,0.65,24
233,0.64,24.9
234,0.86,18.8
235,0.75,18.1
236,0.74,19.2
237,0.7,21
238,0.68,20.9
239,0.65,21.9
240,0.76,18
241,0.69,17.3
242,0.7,17.4
243,0.82,16.6
244,0.89,16.2
245,0.75,18
246,0.69,15.9
247,0.85,14.3
248,0.78,14
249,0.76,13.6
250,0.78,14.4
251,0.71,15.5
252,0.69,15.2
253,0.72,17.2
254,0.75,18.5
255,0.76,19.3
256,0.75,20.5
257,0.8,18.8
258,0.78,19.1
259,0.73,21.3
260,0.63,17.1
261,0.66,15.4
262,0.74,15.2
263,0.69,17.9
264,0.85,14.7
265,0.77,13.5
266,0.73,14.1
267,0.74,14.5
268,0.75,16
269,0.82,16.2
270,0.77,17.9
